package,version,date,license,which_tree,dep_name,dep_version,dep_license,is_direct,in_degree,out_degree,layer
wemake-python-styleguide,0.13.3,2019-12-15 12:10:22.596000+00:00,MIT,tree_created,flake8-pep3101,1.3.0,GPL-2.0-only,True,1,1,1
wemake-python-styleguide,0.13.3,2019-12-15 12:10:22.596000+00:00,MIT,tree_created,flake8-builtins,1.4.0,GPL-2.0-only,True,1,0,1
wemake-python-styleguide,0.14.1,2020-07-29 15:43:28.698000+00:00,MIT,tree_created,flake8-isort,3.0.1,GPL-2.0-only,True,1,2,1
wemake-python-styleguide,0.16.0,2021-12-13 20:48:02.027000+00:00,MIT,tree_created,flake8-isort,4.1.1,GPL-2.0-only,True,1,3,1
wemake-python-styleguide,0.17.0,2022-09-27 11:37:03.855000+00:00,MIT,tree_created,flake8-isort,4.2.0,GPL-2.0-only,True,1,2,1
wemake-python-styleguide,0.6.0,2018-12-19 08:23:54.018000+00:00,MIT,tree_created,flake8-isort,2.6.0,GPL-2.0-only,True,1,0,1
wemake-python-styleguide,0.6.0,2018-12-19 08:23:54.018000+00:00,MIT,tree_created,flake8-pep3101,1.2.1,GPL-2.0-only,True,1,0,1
wemake-python-styleguide,0.6.0,2018-12-19 08:23:54.018000+00:00,MIT,tree_created,flake8-builtins,1.4.0,GPL-2.0-only,True,1,0,1
workalendar,14.1.0,2020-12-10 14:33:03.286000+00:00,MIT,tree_created,lunardate,0.2.0,GPL-3.0-only,True,1,0,1
workalendar,16.2.0,2021-12-10 22:15:16.281000+00:00,MIT,tree_created,lunardate,0.2.0,GPL-3.0-only,True,1,0,1
workalendar,16.3.0,2022-02-22 21:25:56.515000+00:00,MIT,tree_created,lunardate,0.2.0,GPL-3.0-only,True,1,0,1
workalendar,7.2.0,2019-12-06 09:56:22.351000+00:00,MIT,tree_created,lunardate,0.2.0,GPL-3.0-only,True,1,0,1
workflow,2.1.3,2017-09-12 07:26:22.501000+00:00,BSD-3-Clause,tree_created,autosemver,0.5.2,GPL-3.0-only,True,1,0,1
workflow,2.1.5,2018-04-03 14:54:28.971000+00:00,BSD-3-Clause,tree_created,autosemver,0.5.3,GPL-3.0-only,True,1,0,1
workflow,2.1.6,2019-02-21 16:35:19.515000+00:00,BSD-3-Clause,tree_created,autosemver,0.5.3,GPL-3.0-only,True,1,0,1
